Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
45.0,Female,44.5,1.65,162.0,148.0,71.0,1.44,959.0,Yoga,30.7,1.6,3.0,1.0,16.35
42.0,Female,50.7,,163.0,162.0,51.0,1.29,940.0,Strength,29.0,1.9,3.0,2.0,16.56
40.0,Female,55.1,1.61,184.0,158.0,64.0,1.55,1224.0,Yoga,16.9,2.7,4.0,3.0,21.26
48.0,Male,73.7,1.61,172.0,121.0,63.0,1.36,815.0,Cardio,21.8,3.6,4.0,2.0,28.43
47.0,Male,55.6,1.77,198.0,138.0,68.0,1.2,820.0,Cardio,24.3,2.9,4.0,2.0,17.75
59.0,Male,86.9,1.76,194.0,123.0,60.0,1.13,688.0,Strength,29.8,3.1,3.0,2.0,28.05
52.0,Female,60.3,1.68,182.0,125.0,64.0,1.6,900.0,Strength,16.5,2.7,4.0,3.0,21.36
24.0,Female,40.4,1.64,168.0,168.0,55.0,0.99,832.0,HIIT,31.0,1.9,2.0,1.0,15.02
33.0,Female,78.5,1.66,161.0,156.0,69.0,1.29,1006.0,HIIT,32.8,1.9,4.0,2.0,28.49
43.0,Male,102.6,,190.0,147.0,58.0,0.82,597.0,Strength,27.5,2.0,2.0,1.0,34.68
19.0,Male,110.8,1.91,161.0,149.0,54.0,1.31,1074.0,,23.3,2.9,2.0,1.0,30.37
18.0,Female,60.9,1.79,191.0,126.0,69.0,1.11,699.0,Cardio,31.1,2.1,2.0,1.0,19.01
29.0,Male,55.7,1.61,177.0,128.0,51.0,1.41,993.0,Strength,28.7,2.3,3.0,1.0,21.49
22.0,Male,110.5,1.92,172.0,144.0,55.0,1.16,919.0,HIIT,20.2,3.3,3.0,2.0,29.98
54.0,Male,55.2,1.71,164.0,152.0,67.0,0.77,579.0,Cardio,24.4,2.8,2.0,1.0,18.88
49.0,Male,46.5,1.72,169.0,120.0,72.0,1.4,832.0,Yoga,22.2,2.6,4.0,2.0,15.72
26.0,Female,70.9,1.66,184.0,125.0,68.0,0.81,506.0,HIIT,28.9,1.7,3.0,1.0,25.73
58.0,Male,74.6,1.75,193.0,137.0,58.0,1.09,739.0,HIIT,24.2,2.9,2.0,1.0,24.36
52.0,Male,45.1,1.72,196.0,129.0,70.0,0.93,594.0,Cardio,27.5,3.3,2.0,1.0,15.24
36.0,Male,99.9,1.99,189.0,147.0,73.0,1.33,1075.0,Yoga,20.9,2.5,3.0,1.0,25.23
33.0,Male,117.0,1.61,166.0,130.0,55.0,1.04,744.0,HIIT,25.1,2.4,3.0,2.0,45.14
20.0,Female,75.9,1.73,165.0,152.0,63.0,1.39,1056.0,Strength,30.6,2.1,4.0,2.0,25.36
37.0,Female,71.2,1.64,162.0,120.0,73.0,1.11,666.0,HIIT,29.9,1.7,3.0,2.0,26.47
41.0,Male,78.8,1.72,172.0,132.0,62.0,1.01,660.0,Cardio,27.3,3.1,4.0,2.0,26.64
50.0,Male,50.6,1.69,162.0,156.0,60.0,1.31,1012.0,Cardio,23.8,3.0,2.0,1.0,17.72
41.0,Male,82.5,1.79,185.0,139.0,61.0,1.69,1163.0,Cardio,14.7,3.5,4.0,3.0,25.75
28.0,Male,108.5,1.79,183.0,120.0,68.0,1.33,878.0,HIIT,24.8,2.1,4.0,2.0,33.86
25.0,Male,49.9,1.98,165.0,122.0,68.0,1.15,772.0,Yoga,25.7,2.1,3.0,2.0,12.73
53.0,Male,125.1,1.91,171.0,137.0,70.0,0.52,353.0,Strength,28.3,3.1,2.0,1.0,34.29
55.0,Female,79.7,1.66,195.0,160.0,68.0,1.06,763.0,Cardio,27.8,1.9,2.0,1.0,28.92
57.0,Male,126.8,1.63,161.0,133.0,73.0,0.96,632.0,Yoga,20.8,2.1,2.0,1.0,47.72
37.0,Female,54.6,1.57,170.0,150.0,62.0,1.31,982.0,Strength,32.1,,3.0,1.0,22.15
52.0,Female,47.8,1.54,198.0,146.0,63.0,1.34,880.0,Cardio,29.8,1.9,3.0,2.0,20.16
42.0,Male,97.9,1.91,193.0,136.0,73.0,1.01,680.0,Strength,29.0,2.8,3.0,2.0,26.84
52.0,Female,63.1,1.54,185.0,165.0,67.0,1.36,1010.0,Strength,34.8,1.8,3.0,2.0,26.61
42.0,Female,72.4,1.69,177.0,148.0,61.0,1.07,713.0,Yoga,29.0,2.3,3.0,2.0,25.35
46.0,Female,58.9,1.7,180.0,155.0,53.0,1.52,1060.0,Strength,17.1,2.7,4.0,3.0,20.38
35.0,Female,50.4,1.6,195.0,156.0,59.0,1.03,803.0,Cardio,29.1,1.9,4.0,2.0,19.69
35.0,Female,64.2,1.59,199.0,145.0,66.0,1.63,1182.0,Yoga,16.6,2.7,5.0,3.0,
19.0,Female,58.8,1.77,181.0,136.0,53.0,1.4,952.0,HIIT,32.8,2.7,2.0,1.0,18.77
52.0,Male,105.2,1.62,189.0,141.0,61.0,1.36,949.0,HIIT,27.6,3.2,3.0,1.0,40.09
33.0,Female,45.9,1.5,189.0,144.0,62.0,0.92,662.0,Yoga,29.8,1.7,3.0,1.0,20.4
58.0,Female,65.2,1.63,167.0,121.0,53.0,1.12,610.0,HIIT,25.4,2.0,3.0,2.0,24.54
53.0,Female,56.3,1.79,193.0,141.0,59.0,1.52,964.0,Strength,16.5,2.7,5.0,3.0,17.57
50.0,Male,90.0,1.7,168.0,124.0,74.0,0.81,497.0,Cardio,22.9,2.7,2.0,1.0,31.14
,Female,60.0,1.7,179.0,123.0,52.0,1.97,1212.0,Strength,19.1,2.7,5.0,3.0,20.76
50.0,Male,51.5,1.71,199.0,155.0,64.0,1.48,1136.0,Yoga,20.9,2.9,2.0,1.0,17.61
31.0,Female,63.1,1.64,184.0,125.0,51.0,1.54,962.0,Cardio,19.0,2.7,4.0,3.0,23.46
38.0,Male,91.5,1.77,,140.0,74.0,0.8,616.0,Yoga,26.7,3.4,2.0,1.0,29.21
37.0,Male,48.7,1.67,164.0,132.0,74.0,1.39,1009.0,Yoga,27.3,3.0,2.0,1.0,17.46
25.0,Female,57.8,1.56,170.0,156.0,66.0,1.35,1053.0,Yoga,29.3,1.6,3.0,2.0,23.75
24.0,Female,42.0,1.75,174.0,144.0,55.0,0.83,598.0,Strength,31.8,2.3,3.0,1.0,13.71
20.0,Male,128.4,1.92,167.0,145.0,57.0,0.63,502.0,Cardio,26.1,2.0,2.0,1.0,34.83
34.0,Female,74.2,1.57,178.0,158.0,52.0,1.47,1161.0,Cardio,32.7,2.4,3.0,1.0,30.1
50.0,Male,89.6,1.68,182.0,139.0,74.0,1.79,1232.0,Cardio,12.2,3.5,5.0,3.0,31.75
29.0,Male,125.9,2.0,186.0,152.0,67.0,1.36,1137.0,Strength,24.7,3.1,4.0,2.0,31.48
39.0,Male,105.5,1.99,199.0,133.0,71.0,0.81,593.0,HIIT,26.4,2.5,2.0,1.0,26.64
39.0,Male,93.4,1.7,191.0,155.0,50.0,1.1,938.0,Strength,21.1,2.5,4.0,2.0,32.32
47.0,Male,82.1,1.84,185.0,136.0,65.0,1.37,922.0,Strength,24.4,3.4,4.0,2.0,24.25
55.0,Female,42.9,1.69,186.0,140.0,56.0,0.9,567.0,Yoga,34.7,2.4,2.0,1.0,15.02
55.0,Male,128.4,1.68,178.0,165.0,52.0,1.13,923.0,Cardio,20.4,2.6,4.0,2.0,45.49
25.0,Male,112.4,1.96,188.0,135.0,72.0,1.42,1054.0,Cardio,23.2,2.5,2.0,1.0,29.26
44.0,Female,77.7,1.79,198.0,165.0,53.0,1.41,1047.0,HIIT,28.1,2.2,3.0,1.0,24.25
44.0,Male,89.3,1.99,192.0,135.0,58.0,1.4,936.0,HIIT,26.3,2.0,4.0,2.0,22.55
51.0,Female,70.3,1.55,178.0,139.0,54.0,1.4,876.0,Yoga,26.1,1.6,3.0,1.0,29.26
38.0,Female,59.1,1.72,196.0,148.0,68.0,1.07,792.0,Cardio,31.3,1.7,3.0,2.0,19.98
47.0,Female,,1.69,178.0,147.0,64.0,1.48,979.0,HIIT,26.0,1.7,3.0,2.0,17.47
50.0,Male,101.7,1.67,192.0,127.0,57.0,0.53,333.0,HIIT,20.9,2.9,2.0,1.0,36.47
45.0,Male,93.0,1.91,175.0,143.0,55.0,1.03,729.0,Cardio,27.3,3.7,3.0,2.0,25.49
50.0,Male,87.4,1.6,182.0,122.0,67.0,0.77,465.0,Strength,23.2,3.1,2.0,1.0,34.14
22.0,Female,55.1,1.61,166.0,144.0,68.0,1.62,1166.0,HIIT,19.9,2.7,4.0,3.0,21.26
36.0,Male,123.7,1.69,185.0,138.0,73.0,1.3,987.0,Cardio,20.4,2.1,4.0,2.0,43.31
21.0,Female,61.3,1.57,191.0,152.0,64.0,1.94,1474.0,HIIT,17.2,2.7,4.0,,24.87
52.0,Male,72.3,1.94,171.0,121.0,56.0,1.46,874.0,Yoga,21.1,2.9,3.0,2.0,19.21
34.0,Female,69.2,1.53,167.0,134.0,59.0,1.36,911.0,HIIT,28.5,2.1,2.0,1.0,29.56
45.0,Male,81.4,1.61,164.0,141.0,55.0,1.14,796.0,Cardio,30.0,2.2,4.0,2.0,31.4
47.0,Male,84.8,1.86,187.0,129.0,63.0,1.85,1181.0,HIIT,14.4,3.5,5.0,3.0,24.51
46.0,Male,55.1,1.72,164.0,137.0,66.0,1.43,970.0,Yoga,20.5,3.6,3.0,2.0,18.62
23.0,Female,59.0,1.78,185.0,141.0,58.0,1.67,1177.0,Yoga,17.8,2.7,5.0,3.0,18.62
52.0,Female,64.9,1.51,164.0,165.0,68.0,1.83,1359.0,HIIT,18.2,2.7,4.0,3.0,28.46
58.0,Male,109.7,1.75,181.0,168.0,54.0,1.01,840.0,HIIT,22.1,2.7,2.0,1.0,35.82
54.0,Male,78.4,1.9,174.0,146.0,72.0,0.81,585.0,Yoga,21.5,3.7,2.0,1.0,21.72
41.0,Female,76.7,1.79,172.0,132.0,56.0,1.4,832.0,Yoga,34.0,2.0,4.0,2.0,23.94
46.0,Female,63.1,1.61,187.0,152.0,68.0,1.0,684.0,Strength,34.7,2.2,4.0,2.0,24.34
48.0,Female,62.9,1.58,192.0,124.0,69.0,1.98,1105.0,Strength,20.0,2.7,4.0,,25.2
52.0,Male,85.6,1.74,182.0,145.0,56.0,1.84,1321.0,Yoga,13.9,3.5,4.0,3.0,28.27
50.0,Female,66.3,1.57,192.0,132.0,73.0,1.25,742.0,HIIT,31.6,1.6,2.0,1.0,26.9
38.0,Male,61.3,1.97,177.0,146.0,51.0,1.37,1100.0,Cardio,23.5,2.8,3.0,1.0,15.8
49.0,Female,44.1,1.65,189.0,133.0,74.0,1.16,694.0,HIIT,26.7,1.8,4.0,2.0,16.2
40.0,Male,63.8,1.62,185.0,143.0,72.0,1.3,1022.0,HIIT,20.8,3.4,2.0,1.0,24.31
50.0,Female,55.4,1.55,175.0,122.0,65.0,1.85,1016.0,Strength,18.5,2.7,4.0,3.0,23.06
20.0,Female,74.7,1.58,172.0,166.0,62.0,1.04,863.0,Strength,32.8,2.4,3.0,2.0,29.92
35.0,Female,78.0,1.67,198.0,168.0,57.0,1.13,949.0,Strength,33.3,2.5,4.0,2.0,27.97
42.0,Female,57.5,1.67,192.0,149.0,55.0,1.14,764.0,Yoga,34.1,2.4,2.0,1.0,20.62
59.0,Female,60.7,1.73,185.0,154.0,55.0,1.03,714.0,Yoga,33.8,2.5,3.0,2.0,20.28
48.0,Male,69.0,1.74,160.0,167.0,58.0,1.48,1223.0,HIIT,30.0,2.3,3.0,2.0,22.79
20.0,Female,75.8,1.78,197.0,133.0,53.0,1.42,944.0,HIIT,27.4,2.0,4.0,2.0,23.92
57.0,Female,75.7,1.63,161.0,131.0,60.0,0.69,407.0,Cardio,32.6,2.3,3.0,1.0,28.49
41.0,Female,71.2,1.64,165.0,147.0,54.0,1.42,939.0,HIIT,30.9,2.3,3.0,2.0,26.47
49.0,Male,85.0,1.68,197.0,163.0,74.0,1.82,1468.0,,,3.5,4.0,3.0,30.12
39.0,Female,63.6,1.56,183.0,148.0,66.0,1.22,903.0,Strength,34.8,2.4,2.0,1.0,26.13
40.0,Male,73.2,1.94,177.0,162.0,69.0,0.81,722.0,Strength,29.0,2.4,2.0,1.0,19.45
19.0,Female,48.3,1.52,186.0,136.0,56.0,0.96,653.0,Strength,26.3,1.6,2.0,1.0,20.91
44.0,Female,42.8,1.78,167.0,159.0,64.0,1.49,1066.0,Strength,25.3,2.6,3.0,2.0,13.51
59.0,Male,88.1,1.76,187.0,168.0,74.0,1.35,1123.0,Strength,26.9,3.0,3.0,2.0,28.44
19.0,Female,72.4,1.75,169.0,140.0,64.0,1.2,840.0,Cardio,31.0,1.7,4.0,2.0,23.64
43.0,Male,73.2,1.88,176.0,142.0,63.0,,822.0,Cardio,29.4,3.3,3.0,1.0,
34.0,Male,110.5,1.86,188.0,139.0,62.0,1.42,1086.0,Cardio,22.3,3.6,2.0,1.0,31.94
57.0,Female,46.1,1.76,165.0,130.0,60.0,1.44,842.0,Strength,25.8,,3.0,2.0,14.88
50.0,Male,90.8,1.71,173.0,153.0,62.0,1.07,810.0,Yoga,22.6,3.4,4.0,2.0,31.05
26.0,Female,59.3,1.51,181.0,129.0,71.0,1.7,1096.0,Strength,15.1,2.7,5.0,3.0,26.01
56.0,Female,45.1,1.73,165.0,129.0,73.0,0.83,482.0,Strength,25.4,2.6,3.0,1.0,15.07
,Male,45.0,1.77,185.0,162.0,58.0,1.48,1187.0,Cardio,29.1,3.6,3.0,2.0,14.36
59.0,Male,89.4,1.62,198.0,125.0,59.0,1.43,885.0,Strength,23.5,3.6,3.0,2.0,34.06
43.0,Male,,1.69,171.0,155.0,53.0,1.14,875.0,Cardio,24.1,2.9,3.0,2.0,44.71
52.0,Male,70.9,1.72,194.0,143.0,66.0,1.31,927.0,Strength,20.2,2.6,3.0,2.0,23.97
42.0,Female,49.2,1.5,173.0,131.0,63.0,1.15,,HIIT,27.7,1.5,3.0,2.0,21.87
41.0,Female,62.3,1.79,181.0,162.0,73.0,1.99,1451.0,Yoga,19.0,2.7,5.0,3.0,19.44
30.0,Male,64.1,1.87,182.0,142.0,67.0,0.64,500.0,Yoga,26.2,2.1,2.0,1.0,18.33
24.0,Female,69.7,1.75,166.0,146.0,60.0,1.41,1029.0,Cardio,32.5,2.0,3.0,1.0,22.76
53.0,Female,56.9,1.59,199.0,164.0,65.0,1.49,1100.0,HIIT,29.5,2.0,3.0,2.0,22.51
37.0,Female,53.0,1.71,184.0,156.0,50.0,1.13,881.0,Yoga,28.1,1.7,4.0,2.0,18.13
18.0,Female,72.7,1.55,172.0,125.0,56.0,0.84,525.0,Cardio,29.8,2.0,3.0,1.0,30.26
25.0,Male,76.5,1.96,180.0,120.0,59.0,0.67,442.0,Strength,23.2,2.3,3.0,1.0,19.91
33.0,Male,113.6,1.99,169.0,125.0,58.0,1.38,949.0,Strength,28.4,3.4,2.0,1.0,28.69
31.0,Female,62.5,1.62,168.0,169.0,74.0,1.56,1318.0,HIIT,16.5,2.7,4.0,3.0,23.81
29.0,Male,95.2,1.86,174.0,141.0,52.0,0.64,496.0,Yoga,26.6,2.5,2.0,1.0,27.52
40.0,Male,51.7,1.82,161.0,,71.0,0.9,792.0,Strength,21.4,3.0,3.0,1.0,15.61
32.0,Male,105.3,1.67,184.0,143.0,72.0,0.57,448.0,Cardio,26.9,2.9,3.0,1.0,37.76
45.0,Female,71.2,1.68,172.0,144.0,63.0,1.37,888.0,Strength,34.1,1.6,3.0,1.0,25.23
51.0,Female,78.1,1.51,193.0,134.0,74.0,0.92,555.0,Strength,31.1,2.6,3.0,1.0,34.25
19.0,Female,50.6,1.68,193.0,145.0,64.0,1.21,877.0,Yoga,30.6,2.1,3.0,2.0,17.93
49.0,Male,70.2,1.89,194.0,127.0,51.0,0.7,440.0,Yoga,29.6,2.6,3.0,1.0,19.65
40.0,Female,62.6,1.53,197.0,143.0,73.0,1.93,1380.0,Cardio,18.1,2.7,5.0,3.0,26.74
39.0,Female,60.6,1.65,162.0,167.0,63.0,0.92,768.0,HIIT,27.6,1.7,3.0,1.0,22.26
42.0,Male,76.4,1.97,165.0,157.0,65.0,1.14,886.0,HIIT,22.9,,3.0,2.0,19.69
39.0,Female,63.3,1.71,178.0,125.0,56.0,1.88,1175.0,Strength,18.5,2.7,4.0,3.0,21.65
39.0,Female,68.6,1.64,162.0,154.0,53.0,1.33,1024.0,Cardio,32.4,1.5,3.0,2.0,25.51
59.0,Male,123.3,1.88,177.0,161.0,67.0,1.3,1036.0,HIIT,23.0,2.6,4.0,2.0,34.89
23.0,Male,107.0,1.94,198.0,120.0,73.0,1.35,891.0,HIIT,23.5,2.9,2.0,1.0,28.43
32.0,Male,68.3,1.92,168.0,165.0,54.0,1.42,1289.0,Strength,29.9,3.5,2.0,1.0,18.53
54.0,Female,47.8,1.6,171.0,155.0,55.0,1.19,830.0,Cardio,26.0,2.3,4.0,2.0,18.67
50.0,Female,58.4,1.79,164.0,131.0,56.0,1.6,943.0,HIIT,17.0,2.7,4.0,3.0,18.23
25.0,Female,74.3,1.71,162.0,157.0,64.0,1.43,1123.0,Yoga,25.6,1.6,3.0,2.0,25.41
22.0,Male,106.8,1.82,170.0,130.0,50.0,1.0,715.0,Yoga,28.2,2.3,4.0,2.0,32.24
56.0,Male,125.5,1.8,189.0,131.0,73.0,1.26,817.0,Strength,,2.7,4.0,2.0,38.73
21.0,Female,55.2,1.55,163.0,161.0,53.0,1.37,1103.0,Strength,31.7,1.7,4.0,2.0,22.98
23.0,Female,71.4,1.72,,169.0,74.0,1.25,1056.0,Strength,25.6,1.5,2.0,1.0,24.13
49.0,Male,77.7,1.61,160.0,158.0,50.0,1.03,806.0,Strength,26.7,3.4,,2.0,29.98
47.0,Male,88.4,1.6,186.0,126.0,60.0,1.86,1160.0,HIIT,14.2,3.5,5.0,3.0,34.53
52.0,Male,104.8,1.99,187.0,130.0,67.0,0.93,598.0,Cardio,24.0,2.0,2.0,1.0,26.46
57.0,Male,82.2,1.69,188.0,155.0,63.0,1.15,882.0,Strength,25.2,3.4,4.0,2.0,28.78
33.0,Female,68.2,1.75,177.0,150.0,71.0,0.85,638.0,Strength,29.0,1.7,2.0,1.0,22.27
30.0,Male,,1.99,171.0,152.0,60.0,1.37,1145.0,HIIT,23.0,3.7,3.0,2.0,23.08
59.0,Female,,1.65,172.0,132.0,59.0,1.22,725.0,Strength,33.0,2.2,2.0,1.0,15.46
47.0,Female,68.7,1.76,161.0,137.0,66.0,1.37,845.0,Strength,27.7,2.4,3.0,2.0,22.18
36.0,Female,47.2,1.74,196.0,160.0,53.0,1.5,,Cardio,32.2,1.6,4.0,2.0,15.59
34.0,Male,92.0,1.76,175.0,143.0,73.0,0.73,574.0,Yoga,22.1,3.5,3.0,1.0,29.7
36.0,Male,56.2,1.95,183.0,,64.0,1.09,767.0,Strength,22.5,3.4,4.0,2.0,14.78
45.0,Male,58.4,1.72,194.0,150.0,65.0,1.31,973.0,HIIT,23.4,3.1,4.0,2.0,19.74
43.0,Male,,1.95,181.0,160.0,70.0,1.9,1505.0,Cardio,12.9,3.5,5.0,3.0,21.8
54.0,Female,66.9,1.74,195.0,129.0,62.0,1.24,720.0,HIIT,29.5,2.1,2.0,1.0,22.1
43.0,Male,66.3,1.85,170.0,121.0,58.0,1.18,707.0,Cardio,27.5,3.2,2.0,1.0,19.37
40.0,Male,93.6,1.93,188.0,157.0,60.0,1.38,1192.0,Cardio,22.1,2.0,3.0,1.0,25.13
26.0,Female,64.1,1.5,194.0,134.0,60.0,1.93,1293.0,Strength,15.1,2.7,5.0,3.0,28.49
29.0,Male,86.7,1.62,174.0,122.0,55.0,1.52,1020.0,Strength,13.9,3.5,4.0,3.0,33.04
18.0,Female,62.0,1.59,190.0,162.0,,1.23,996.0,Strength,33.2,2.2,4.0,2.0,24.52
18.0,Female,58.1,1.61,175.0,150.0,71.0,1.9,1425.0,Yoga,15.3,2.7,4.0,3.0,22.41
51.0,Female,64.9,1.6,169.0,125.0,55.0,1.49,838.0,Yoga,31.1,2.5,4.0,2.0,25.35
49.0,Female,69.3,1.62,191.0,122.0,62.0,1.14,626.0,HIIT,28.8,1.9,4.0,2.0,26.41
42.0,Female,42.7,1.74,161.0,130.0,71.0,1.04,608.0,Strength,32.9,1.6,3.0,1.0,14.1
57.0,Female,51.4,1.63,183.0,134.0,73.0,1.2,724.0,Yoga,33.7,2.0,4.0,2.0,19.35
18.0,Female,67.4,1.6,182.0,164.0,71.0,,492.0,Strength,33.5,2.4,3.0,1.0,26.33
33.0,Female,55.6,1.61,161.0,147.0,54.0,1.77,1301.0,Yoga,18.9,2.7,4.0,3.0,21.45
56.0,Male,125.3,1.86,197.0,129.0,64.0,1.0,639.0,Yoga,22.7,2.2,3.0,2.0,36.22
22.0,Male,102.1,1.85,190.0,157.0,,1.48,1278.0,Cardio,28.1,2.4,4.0,,29.83
39.0,Male,61.9,1.77,199.0,166.0,69.0,1.32,1205.0,Strength,25.3,2.3,3.0,1.0,19.76
46.0,Male,108.8,1.64,185.0,169.0,63.0,1.4,1171.0,Strength,20.5,3.4,3.0,1.0,40.45
20.0,Female,51.1,1.58,188.0,169.0,64.0,0.5,422.0,Yoga,29.6,1.6,2.0,1.0,20.47
29.0,Male,81.7,1.99,162.0,126.0,54.0,1.45,1005.0,Strength,29.4,3.2,2.0,1.0,20.63
43.0,Female,42.7,1.66,173.0,134.0,53.0,0.73,440.0,Yoga,33.9,1.9,2.0,1.0,15.5
33.0,Male,81.8,1.99,184.0,137.0,51.0,1.59,1198.0,Strength,10.5,3.5,4.0,3.0,20.66
54.0,Male,54.6,1.76,160.0,137.0,56.0,1.28,868.0,Cardio,27.4,3.3,4.0,2.0,17.63
39.0,Male,107.7,1.88,162.0,160.0,59.0,0.72,634.0,Strength,28.1,3.6,2.0,,30.47
46.0,Female,56.9,1.6,185.0,143.0,,0.88,566.0,Cardio,27.7,1.6,3.0,1.0,22.23
31.0,Male,78.8,1.71,177.0,121.0,59.0,1.49,992.0,HIIT,24.7,2.5,4.0,2.0,26.95
45.0,Female,48.2,1.64,168.0,159.0,67.0,1.25,894.0,Strength,32.1,2.5,4.0,2.0,17.92
,Female,50.7,1.59,197.0,139.0,66.0,1.27,883.0,Strength,29.4,1.8,3.0,2.0,20.05
47.0,Male,86.6,1.99,182.0,,70.0,1.98,1500.0,Strength,10.6,3.5,4.0,3.0,21.87
22.0,Male,96.3,1.63,180.0,162.0,62.0,1.35,1203.0,Cardio,27.1,2.4,4.0,2.0,36.25
29.0,Male,80.8,1.98,160.0,145.0,50.0,1.65,1316.0,Strength,14.6,3.5,5.0,3.0,20.61
33.0,Female,58.0,1.53,180.0,126.0,50.0,1.84,1159.0,Strength,18.3,2.7,5.0,3.0,24.78
43.0,Male,95.9,1.85,186.0,157.0,64.0,1.28,995.0,Yoga,27.7,3.4,2.0,1.0,28.02
43.0,Female,61.5,1.58,165.0,149.0,50.0,1.86,1247.0,HIIT,16.8,2.7,5.0,3.0,24.64
38.0,Female,40.6,1.79,195.0,161.0,55.0,0.62,499.0,Cardio,26.8,2.7,2.0,1.0,12.67
56.0,Male,82.5,1.87,187.0,124.0,74.0,1.51,927.0,Yoga,13.2,3.5,5.0,3.0,23.59
53.0,Male,105.1,1.84,176.0,130.0,62.0,0.69,444.0,Cardio,23.3,2.9,3.0,1.0,31.04
50.0,Female,58.1,1.58,199.0,120.0,50.0,1.93,1042.0,Yoga,19.3,2.7,5.0,3.0,23.27
47.0,Female,61.0,1.76,162.0,153.0,54.0,1.54,1060.0,HIIT,15.6,2.7,5.0,3.0,19.69
54.0,Female,64.5,1.53,171.0,120.0,58.0,1.74,940.0,Yoga,17.2,2.7,4.0,3.0,27.55
40.0,Male,58.2,1.98,198.0,138.0,74.0,1.43,1085.0,Cardio,24.0,2.5,3.0,2.0,14.85
27.0,Female,69.5,1.76,171.0,121.0,66.0,0.94,569.0,Strength,34.4,2.0,3.0,1.0,22.44
22.0,Male,62.2,1.84,161.0,140.0,65.0,0.51,393.0,Strength,21.5,2.3,3.0,1.0,18.37
53.0,Female,68.0,1.7,181.0,139.0,57.0,1.06,663.0,HIIT,25.1,2.4,4.0,2.0,23.53
51.0,Female,56.3,1.5,182.0,142.0,66.0,1.43,914.0,Cardio,27.4,2.4,3.0,1.0,25.02
48.0,Male,94.5,1.7,189.0,140.0,64.0,1.01,700.0,Cardio,28.2,3.5,3.0,2.0,32.7
27.0,Female,58.0,1.79,164.0,143.0,73.0,1.39,994.0,Cardio,27.1,1.5,2.0,1.0,18.1
36.0,Male,84.0,1.94,168.0,123.0,50.0,1.8,1218.0,HIIT,11.2,3.5,5.0,3.0,22.32
49.0,Male,61.0,1.87,180.0,131.0,61.0,1.14,739.0,Strength,21.3,3.0,4.0,2.0,17.44
18.0,Female,64.8,1.53,170.0,141.0,54.0,1.98,1396.0,Yoga,18.6,2.7,5.0,3.0,27.68
22.0,Male,45.7,1.77,164.0,139.0,73.0,1.04,795.0,HIIT,20.7,2.4,3.0,1.0,14.59
21.0,Male,80.9,1.9,194.0,137.0,55.0,1.8,1356.0,Yoga,11.7,3.5,4.0,3.0,22.41
33.0,Female,64.1,1.63,186.0,120.0,74.0,1.58,948.0,Strength,16.4,2.7,5.0,3.0,24.13
41.0,Male,67.0,1.77,161.0,149.0,50.0,1.22,900.0,HIIT,25.6,2.6,3.0,2.0,21.39
33.0,Male,106.5,1.6,183.0,152.0,74.0,1.4,1170.0,Strength,27.3,3.3,4.0,2.0,41.6
19.0,Male,95.1,1.85,190.0,143.0,50.0,1.21,952.0,Yoga,25.3,2.3,4.0,2.0,27.79
45.0,Female,65.5,1.57,192.0,133.0,59.0,0.66,395.0,Cardio,34.3,2.3,2.0,1.0,26.57
49.0,Male,105.7,1.64,198.0,155.0,59.0,1.2,921.0,Cardio,29.5,3.1,3.0,2.0,39.3
44.0,Female,48.0,1.76,189.0,124.0,52.0,0.88,491.0,Yoga,28.6,2.6,2.0,1.0,15.5
37.0,Female,69.5,1.5,196.0,130.0,66.0,0.69,448.0,Cardio,32.8,2.4,2.0,1.0,30.89
41.0,Male,66.1,1.69,187.0,143.0,68.0,0.77,545.0,Yoga,27.4,3.4,2.0,1.0,23.14
29.0,Male,68.0,1.7,190.0,150.0,60.0,0.76,627.0,HIIT,28.9,2.9,2.0,1.0,23.53
52.0,Male,50.3,1.78,170.0,132.0,67.0,0.85,555.0,HIIT,24.5,2.3,2.0,1.0,15.88
50.0,Female,69.3,1.68,182.0,135.0,51.0,1.2,729.0,HIIT,30.3,,2.0,1.0,24.55
50.0,Male,86.7,1.63,161.0,143.0,58.0,1.7,1203.0,Cardio,,3.5,4.0,,32.63
54.0,Male,125.9,1.94,199.0,132.0,73.0,1.35,882.0,Strength,28.5,2.9,3.0,2.0,33.45
29.0,Male,88.1,1.93,186.0,143.0,66.0,1.88,1479.0,Cardio,11.1,3.5,5.0,3.0,23.65
20.0,Male,124.3,1.82,194.0,145.0,63.0,1.25,997.0,Cardio,22.4,3.2,3.0,2.0,37.53
18.0,Male,62.0,1.85,161.0,121.0,53.0,0.88,586.0,,23.7,3.0,3.0,1.0,18.12
50.0,Female,69.7,1.72,198.0,135.0,66.0,1.24,753.0,Strength,27.3,2.0,4.0,2.0,23.56
57.0,Female,60.9,1.52,196.0,157.0,66.0,1.31,926.0,Strength,30.6,1.8,3.0,2.0,26.36
27.0,Male,76.5,1.97,180.0,165.0,61.0,1.13,1025.0,Strength,21.3,2.3,2.0,1.0,19.71
46.0,Male,94.7,1.82,164.0,120.0,69.0,1.47,873.0,Cardio,23.2,3.2,,2.0,28.59
